<body><p>Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"April 1, 2023 - June  30, 2023",,,,,,,,,,,,,
,,Petitions by Category of Relatives and Case Status,,,,,,,,Total,,,
USCIS Field Office or Service Center Location,,Immediate Relative1,,,,All Other Relative2,,,,,,,
Field Office by State7,Field Office Code,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6
Philadelphia,PHI,"1,338","1,628",190,"5,934",45,78,31,373,"1,383","1,706",221,"6,307"
Pittsburgh ,PIT,136,325,22,786,D,17,D,52,141,342,23,838
Rhode Island,,,,,,,,,,,,,
Providence ,PRO,195,425,28,995,D,16,D,34,196,441,33,"1,029"
South Carolina,,,,,,,,,,,,,
Charleston ,CHL,277,191,40,"1,902",11,15,11,51,288,206,51,"1,953"
Greer,GRR,192,634,12,678,D,28,D,41,201,662,13,719
Tennessee,,,,,,,,,,,,,
Memphis ,MEM,189,463,31,"1,062",D,22,D,64,194,485,33,"1,126"
Nashville,NTN,363,486,18,"2,341",17,D,D,132,380,491,20,"2,473"
Texas,,,,,,,,,,,,,
Dallas ,DAL,"2,634","3,629",155,"11,420",87,100,17,666,"2,721","3,729",172,"12,086"
El Paso ,ELP,744,"1,342",30,"2,765",21,52,D,146,765,"1,394",34,"2,911"
Harlingen ,HLG,678,"1,127",23,"2,900",19,42,D,119,697,"1,169",25,"3,019"
Houston ,HOU,"2,304","5,157",298,"12,163",62,168,14,668,"2,366","5,325",312,"12,831"
San Antonio ,SNA,"1,409","1,539",34,"5,180",55,42,D,306,"1,464","1,581",43,"5,486"
Utah,,,,,,,,,,,,,
Salt Lake City ,SLC,671,88,26,"2,892",13,D,D,73,684,92,30,"2,965"
Vermont,,,,,,,,,,,,,
St. Albans ,STA,24,129,D,142,-,12,D,D,24,141,D,149
Virginia,,,,,,,,,,,,,
Norfolk ,NOR,321,434,24,"2,251",11,D,-,139,332,441,24,"2,390"
Washington,,,,,,,,,,,,,
Seattle ,SEA,870,"1,102",48,"3,733",71,82,17,417,941,"1,184",65,"4,150"
Spokane ,SPO,61,97,D,251,-,D,D,14,61,99,10,265
Yakima,YAK,123,198,D,512,-,D,D,28,123,207,11,540
West Virginia,,,,,,,,,,,,,
Charleston ,CHS,-,-,-,-,-,-,-,-,-,-,-,-
Wisconsin,,,,,,,,,,,,,
Milwaukee ,MIL,313,498,11,"1,624",D,10,D,73,318,508,14,"1,697"
Guam,, , , , , , , , , , , , 
Agana,AGA,49,88,D,324,D,D,D,20,54,92,D,344
U.S. Virgin Islands,, , , , , , , , , , , , 
Charlotte Amalie,CHA,10,158,D,142,-,D,D,17,10,165,D,159
Christiansted ,CHR,D,-,D,12,-,-,-,-,D,-,D,12
Puerto Rico,, , , , , , , , , , , , 
San Juan ,SAJ,107,203,D,702,-,D,D,45,107,206,D,747
Service Center,, , , , , , , , , , , , 
California,WSC,"23,259","25,586","1,123","90,325","11,860","4,450","3,849","695,743","35,119","30,036","4,972","786,068"
Nebraska,NSC,"22,898","11,336",594,"83,332","12,099","1,513",185,"107,492","34,997","12,849",779,"190,824"
Texas,SSC,"22,879","32,566",871,"90,366","12,187","3,953",153,"114,326","35,066","36,519","1,024","204,692"
Vermont,ESC,"23,229","19,875",646,"96,496","12,575","3,357",429,"149,861","35,804","23,232","1,075","246,357"
Potomac,YSC,"22,967","34,888","1,626","89,751","12,324","5,018",630,"104,970","35,291","39,906","2,256","194,721"
Table Key:,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,
References:,,,,,,,,,,,,,
1 Immediate Relative refers to petitions to sponsor Immediate Relatives of U.S. citizens.,,,,,,,,,,,,,
2 All Other Relatives refers to petitions to sponsor relatives under Family-Based Preferences.,,,,,,,,,,,,,
3 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
4 The number of petitions approved during the reporting period.,,,,,,,,,,,,,
5 The number of petitions denied during the reporting period.,,,,,,,,,,,,,
6 The number of petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;,,,,,,,,,,,,,
 thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,
7 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
"1) Some petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,
4) These counts do not include international offices.,,,,,,,,,,,,,
"5) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,
"PRT, queried 07/2023, TRK 12297",,,,,,,,,,,,,</p></body>
