<body><p>Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"July 1, 2023 - Septembe  30, 2023",,,,,,,,,,,,,
,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative2,All Other Relative2,All Other Relative2,All Other Relative2,Total,Total,Total,Total
Field Office by State7,Field Office Code,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6
Field Office by Territory7,,,,,,,,,,,,,
Guam,, , , , , , , , , , , , 
Agana,AGA,98,118, D ,325, D , D , D ,14,100,125, D ,339
U.S. Virgin Islands,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Charlotte Amalie,CHA,10,96, D ,100, - , D , D , D ,10,104,10,109
Christiansted ,CHR, D , - , - ,17, - , - , - , - , D , - , - ,17
Puerto Rico,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
San Juan ,SAJ,119,95,11,754, D , D , D ,40,122,102,13,794
Service Center,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
California,WSC,"22,394","23,523","1,575","84,639","11,976","3,144","1,988","703,349","34,370","26,667","3,563","787,988"
Nebraska,NSC,"22,376","17,551",728,"79,264","12,393","1,267",244,"118,107","34,769","18,818",972,"197,371"
Texas,SSC,"22,051","25,445","2,470","85,625","12,369","2,119",639,"123,384","34,420","27,564","3,109","209,009"
Vermont,ESC,"22,215","26,689","1,030","90,782","12,636","3,518",469,"158,913","34,851","30,207","1,499","249,695"
Potomac,YSC,"22,092","24,923","2,066","84,105","12,626","3,214",714,"113,616","34,718","28,137","2,780","197,721"
Table Key:,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,
References:,,,,,,,,,,,,,
1 Immediate Relative refers to petitions to sponsor Immediate Relatives of U.S. citizens.,,,,,,,,,,,,,
