,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,

 ,,,,,,,,,,,,,,,

Total,,," 155,598 "," 126,279 "," 10,310 "," 453,895 "," 61,117 "," 8,101 "," 3,943 "," 781,564 "," 216,715 "," 134,380 "," 14,253 "," 1,235,459 ",

Field Office by State6,,,,,,,,,,,,,,,

,,Field Office Code,,,,,,,,,,,,,

Alaska,,,,,,,,,,,,,,,

Missouri,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Kansas City ,KAN, 365 , 640 , 29 , 750 , -   , 15 , -   , -   , 365 , 655 , 29 , 750 ,

,St. Louis ,STL, 185 , 258 , 18 , 851 , -   , -   , -   , D , 185 , 258 , 18 , 860 ,

Montana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Helena ,HEL, 37 , 164 , D , 183 , -   , -   , -   , D , 37 , 164 , D , 187 ,

Nebraska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Omaha ,OMA, 166 , 261 , 34 , 460 , -   , D , -   , D , 166 , 262 , 34 , 463 ,

Nevada,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Las Vegas ,LVG, 778 , 707 , 73 ," 2,591 ", D , D , D , 14 , 781 , 710 , 75 ," 2,605 ",

,Reno ,REN, 148 , 147 , D , 308 , -   , D , D , -   , 148 , 149 , D , 308 ,

New Hampshire,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Manchester ,MAN, 136 , 123 , 18 , 281 , -   , D , D , D , 136 , 125 , 25 , 283 ,

New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Mount Laurel,MTL, 522 , 597 , 47 ," 1,486 ", D , D , D , 34 , 523 , 606 , 48 ," 1,520 ",

,Newark ,NEW," 3,051 "," 2,372 ", 197 ," 10,619 ", D , 15 , D , 72 ," 3,056 "," 2,387 ", 201 ," 10,691 ",

New Mexico,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Albuquerque ,ABQ, 279 , 360 , D , 623 , -   , D , -   , D , 279 , 369 , D , 625 ,

New York,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Albany ,ALB, 142 , 154 , D , 357 , -   , D , -   , 29 , 142 , 160 , D , 386 ,

,Buffalo ,BUF, 200 , 240 , 48 , 575 , -   , D , D , 59 , 200 , 247 , 51 , 634 ,

,Long Island,LNY," 1,850 "," 1,495 ", 122 ," 6,351 ", -   , 33 , D , 67 ," 1,850 "," 1,528 ", 128 ," 6,418 ",

,New York ,NYC," 5,080 "," 3,931 ", 470 ," 21,814 ", D , 95 , 18 , 566 ," 5,089 "," 4,026 ", 488 ," 22,380 ",

,Queens,QNS," 1,644 "," 1,474 ", 110 ," 6,648 ", D , 36 , D , 168 ," 1,646 "," 1,510 ", 114 ," 6,816 ",

North Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Charlotte ,CLT, 657 , 424 , 44 ," 1,890 ", -   , D , D , D , 657 , 432 , 46 ," 1,897 ",

,Raleigh,RAL, 642 , 513 , 26 ," 1,677 ", D , 18 , D , D , 643 , 531 , 27 ," 1,678 ",

Ohio,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Cincinnati ,CIN, 205 , 180 , 23 , 524 , -   , -   , -   , D , 205 , 180 , 23 , 527 ,

,Cleveland ,CLE, 296 , 311 , 32 , 631 , -   , D , -   , D , 296 , 317 , 32 , 639 ,

,Columbus,CLM, 262 , 240 , 25 , 650 , -   , D , -   , D , 262 , 243 , 25 , 653 ,

Oklahoma,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Oklahoma City ,OKC, 394 , 358 , 27 ," 1,112 ", -   , D , -   , D , 394 , 361 , 27 ," 1,113 ",

Oregon,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Portland ,POO, 531 , 503 , 10 ," 1,389 ", D , D , D , D , 532 , 506 , 12 ," 1,390 ",

Pennsylvania,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Philadelphia,PHI," 1,386 "," 1,338 ", 123 ," 4,034 ", D , 31 , D , 89 ," 1,387 "," 1,369 ", 127 ," 4,123 ",

,Pittsburgh ,PIT, 235 , 229 , 24 , 577 , D , -   , -   , D , 236 , 229 , 24 , 582 ,

Rhode Island,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Providence ,PRO, 277 , 426 , 55 , 751 , -   , D , D , D , 277 , 430 , 56 , 753 ,

South Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Charleston ,CHL, 265 , 469 , 35 , 618 , -   , 12 , D , D , 265 , 481 , 38 , 620 ,

,Greer,GRR, 153 , 154 , D , 310 , -   , D , -   , D , 153 , 157 , D , 311 ,

Tennessee,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Memphis ,MEM, 597 , 483 , 31 ," 1,808 ", -   , 13 , -   , 19 , 597 , 496 , 31 ," 1,827 ",

Texas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Dallas ,DAL," 2,842 "," 2,402 ", 166 ," 8,983 ", D , 20 , D , 236 ," 2,848 "," 2,422 ", 169 ," 9,219 ",

,El Paso ,ELP, 816 , 380 , 28 ," 2,226 ", D , D , D , 23 , 817 , 382 , 29 ," 2,249 ",

,Harlingen ,HLG, 796 , 372 , 35 ," 2,399 ", D , D , D , D , 800 , 374 , 38 ," 2,408 ",

,Houston ,HOU," 2,989 "," 2,246 ", 216 ," 12,212 ", D , D , D , 250 ," 2,995 "," 2,253 ", 224 ," 12,462 ",

,San Antonio ,SNA," 1,609 ", 968 , 44 ," 5,421 ", D , 23 , D , 56 ," 1,611 ", 991 , 45 ," 5,477 ",

Utah,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Salt Lake City ,SLC, 683 , 251 , 20 ," 1,732 ", -   , D , D , D , 683 , 252 , 21 ," 1,736 ",

Vermont,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,St. Albans ,STA, 39 , 59 , D , 78 , -   , D , -   , D , 39 , 60 , D , 81 ,

Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Norfolk ,NOR, 378 , 358 , 18 ," 1,077 ", D , 11 , -   , 18 , 380 , 369 , 18 ," 1,095 ",

Washington,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Seattle ,SEA," 1,005 ", 544 , 37 ," 3,204 ", D , D , D , D ," 1,006 ", 550 , 38 ," 3,209 ",

