H1: List of Recognized American Institutions of Research and Other Recognized Organizations

The following is a list of the recognized American institutions of research, public international organizations, and designations under the International Immunities Act as of April 6, 2011.

A USCIS AIR Number is assigned to the list of American institutions of research. Each primary organization and its entities and affiliates have a designated USCIS AIR Number. The primary organization is denoted with a ‘*’ in the below list.

TABLE:
USCIS AIR NUMBER | Recognized American Institutions of Research
Wenner-Gren Foundation for Anthropological Research, Inc.

https://wennergren.org/

Williams College, Economic Department, Williamstown, Mass.

https://www.williams.edu/

Texas A&M University

https://facultyaffairs.tamu.edu/index.html

https://facultyaffairs.tamu.edu/immigration-affairs/index.html

Middlebury College

https://www.middlebury.edu/

Carnegie Mellon University

https://www.cmu.edu/student-affairs/

Oklahoma State University

https://go.okstate.edu/

Baylor College of Medicine

https://www.bcm.edu/

American University of Armenia

https://aua.am/

Purdue University

https://www.purdue.edu/

St. Olaf College

https://wp.stolaf.edu/

The American Academy in Berlin

https://www.americanacademy.de/

Tufts University

https://www.tufts.edu/

Rice University

https://www.rice.edu/

Virginia Commonwealth University

https://www.vcu.edu/

Institution-Weill Cornell Medicine-Qatar

https://www.qatar-weill.cornell.edu/

University of Nevada, Reno

https://www.unr.edu/

Temple University

https://www.temple.edu/
